layer1,layer2,layer3,p.adj,est,se
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,affpol_smart_w2,,0.0266364385313564,0.0206129666646081
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,affpol_comfort_w2,,0.0651127731089,0.0262554556012987
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,overall,,,
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,affpol_ft_w2,,0.0607865794426274,1.90911264620282
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,affpol_smart_w2,,0.0280706854841923,0.0227378428427897
affpol,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.pro:recsys.31,affpol_comfort_w2,,0.07920909559627,0.028734024277663
affpol,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
affpol,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,affpol_ft_w2,,-1.50646306106957,1.75947291217404
affpol,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,affpol_smart_w2,,-0.00836975181225003,0.0223693443419472
affpol,attitude.neutral:seed.anti:recsys.22.vs.attitude.neutral:seed.pro:recsys.22,affpol_comfort_w2,,0.00553935857786486,0.0254605369284474
